sourceFile,exportedFile,schoolId,schoolSn,schoolLgea,schoolName,interviewId,interviewType,participantPseudonym,interviewDate,responseText,fieldNotes
cmrdk7x4o0003la04p0qbhwsn_interview_2026-07-09T13-45-55-230Z_dce71f66daf8a714.webm,19_IKORODU_L.G._PRIMARY_SCHOOL_IPAKODO_Pupil_P79-1444.webm,cmr3lrv3o000isr3ofarkweb0,19,IKORODU,"L.G. PRIMARY SCHOOL, IPAKODO",cmrdk83wm0011jv04t7uzzdn8,Pupil,P79-1444,2026-07-09,interview_2026-07-09T13-45-55-230Z_dce71f66daf8a714.webm,Recording available
cmreocez30001lc040qd9oyp4_interview_2026-07-10T08-29-09-561Z_96ef6eb345828344.webm,11_ETI-OSA_AJIRAN_PRIMARY_SCHOOL_Administrator_A710-0924.webm,cmr3lrv25000asr3okezhdnum,11,ETI-OSA,AJIRAN PRIMARY SCHOOL,cmreocfng0001kw04q4rntutr,Administrator,A710-0924,2026-07-10,interview_2026-07-10T08-29-09-561Z_96ef6eb345828344.webm,Recording available
cmreohj410003lc04fvqhda8n_interview_2026-07-10T08-33-08-334Z_41f114040dd876b6.webm,11_ETI-OSA_AJIRAN_PRIMARY_SCHOOL_Administrator_A710-0929.webm,cmr3lrv25000asr3okezhdnum,11,ETI-OSA,AJIRAN PRIMARY SCHOOL,cmreohkjn000hkw041x5tlqik,Administrator,A710-0929,2026-07-10,interview_2026-07-10T08-33-08-334Z_41f114040dd876b6.webm,Recording available
cmrev4tf10001jv04daplqyvv_interview_2026-07-10T11-39-12-478Z_7aa1fc18ca6fde29.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Teacher_T710-1035.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmrev4uuy001vlb041448pnwu,Teacher,T710-1035,2026-07-10,interview_2026-07-10T11-39-12-478Z_7aa1fc18ca6fde29.webm,Recording available
cmrew2dbt0001l704k5j3yqx1_interview_2026-07-10T12-05-17-798Z_3eb5510ae471c54e.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Teacher_T710-1257.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmrew2i5e0001ky04gtq5jhzs,Teacher,T710-1257,2026-07-10,interview_2026-07-10T12-05-17-798Z_3eb5510ae471c54e.webm,Recording available
cmreyywwv0001l404eovt97sq_interview_2026-07-10T13-26-35-384Z_11135798e3ea1076.webm,20_KOSOFE_AJELOGO_NURSERY_PRIMARY_SCHOOL_KETU_Administrator_A710-1426.webm,cmr3lrv3q000jsr3oe9hxerpc,20,KOSOFE,"AJELOGO NURSERY & PRIMARY SCHOOL, KETU",cmreyyxsb0001ky04zmhqlpq5,Administrator,A710-1426,2026-07-10,interview_2026-07-10T13-26-35-384Z_11135798e3ea1076.webm,Recording available
cmrez39qb0001l704o3dhvzpq_interview_2026-07-10T13-29-58-631Z_a21c39963d3e0b04.webm,3_AGEGE_DAIRY_FARM_PRIMARY_SCHOOL_Administrator_A710-1428.webm,cmr3lrv1s0002sr3om02smy3r,3,AGEGE,DAIRY FARM PRIMARY SCHOOL,cmrez3aoi000hky04633d9aqv,Administrator,A710-1428,2026-07-10,interview_2026-07-10T13-29-58-631Z_a21c39963d3e0b04.webm,Recording available
cmrf5ejnm0001js04sy0r1j99_interview_2026-07-10T16-26-42-429Z_40ced8389de368bb.webm,21_KOSOFE_EXPRESSWAY_NURSERY_PRIMARY_SCHOOL_1_IKOSI_KETU_Administrator_A710-1724.webm,cmr3lrv3r000ksr3oc9i3tr0i,21,KOSOFE,"EXPRESSWAY NURSERY & PRIMARY SCHOOL 1, IKOSI KETU",cmrf5elsm0001l8044qy3ty5z,Administrator,A710-1724,2026-07-10,interview_2026-07-10T16-26-42-429Z_40ced8389de368bb.webm,Recording available
cmrf5i6z20003js0474z016ry_interview_2026-07-10T16-29-32-693Z_250ba32087d1cbe3.webm,17_IKORODU_U._P._E._PRIMARY_SCHOOL_AJAGURO_Administrator_A710-1728.webm,cmr3lrv2f000gsr3ochaift84,17,IKORODU,"U. P. E. PRIMARY SCHOOL, AJAGURO",cmrf5i8qs0001i704iwolx7uh,Administrator,A710-1728,2026-07-10,interview_2026-07-10T16-29-32-693Z_250ba32087d1cbe3.webm,Recording available
cmriln47o0001i904kdbs0tqa_interview_2026-07-13T02-24-34-647Z_6c39d66a184b8c83.webm,10_BADAGRY_L.A._PRIMARY_SCHOOL_APA_Pupil_P713-0322.webm,cmr3lrv230009sr3o6hu1qfok,10,BADAGRY,"L.A. PRIMARY SCHOOL, APA",cmriln5fw000fju046lct4igx,Pupil,P713-0322,2026-07-13,interview_2026-07-13T02-24-34-647Z_6c39d66a184b8c83.webm,Recording available
cmrilnxel0003i904ha86w3gc_interview_2026-07-13T02-25-12-626Z_547e48e854fc9c7c.webm,33_MUSHIN_ALAKARA_PRIMARY_SCHOOL_Pupil_P713-0324.webm,cmr3lrv48000wsr3of1gsf1bf,33,MUSHIN,ALAKARA PRIMARY SCHOOL,cmrilo2sb000vju04y3r32we2,Pupil,P713-0324,2026-07-13,interview_2026-07-13T02-25-12-626Z_547e48e854fc9c7c.webm,Recording available
cmrilw1520005i904rvth4a1h_interview_2026-07-13T02-31-30-741Z_a97e69bc69eb5d52.webm,35_OJO_L._A._NUR_PRY_SCHOOL_IBA_Administrator_A713-0331.webm,cmr3lrv4a000ysr3oavkw80pj,35,OJO,"L. A. NUR & PRY SCHOOL, IBA",cmrilw2qu0001jj04mmi4oe0d,Administrator,A713-0331,2026-07-13,interview_2026-07-13T02-31-30-741Z_a97e69bc69eb5d52.webm,Recording available
