sourceFile,exportedFile,schoolId,schoolSn,schoolLgea,schoolName,interviewId,interviewType,participantPseudonym,interviewDate,responseText,fieldNotes
cmrbyhk1v0001l404dbtp5d1b_interview_2026-07-08T10-49-47-043Z_0347b1ef4e69d7c9.webm,13_ETI-OSA_ARMY_CHILDREN_SCHOOL_BONNY_CAMP_Pupil_P78-1144.webm,cmr3lrv28000csr3o84wk6hae,13,ETI-OSA,ARMY CHILDREN SCHOOL BONNY CAMP,cmrbyhmy10037ib047jvblx2p,Pupil,P78-1144,2026-07-08,interview_2026-07-08T10-49-47-043Z_0347b1ef4e69d7c9.webm,Recording available
cmrbz1t0o0001l9040l9l9b1t_interview_2026-07-08T11-05-31-783Z_c99b60171a9f0f13.webm,13_ETI-OSA_ARMY_CHILDREN_SCHOOL_BONNY_CAMP_Pupil_P78-1150.webm,cmr3lrv28000csr3o84wk6hae,13,ETI-OSA,ARMY CHILDREN SCHOOL BONNY CAMP,cmrbz1xcx0001jm04q8t4fa3i,Pupil,P78-1150,2026-07-08,interview_2026-07-08T11-05-31-783Z_c99b60171a9f0f13.webm,Recording available
cmrc1hl4c0001l504y5cy6bhb_interview_2026-07-08T12-13-47-286Z_1e9fe7cd28000c5a.webm,30_MUSHIN_OLISA_PRIMARY_SCHOOL_Teacher_T78-1300.webm,cmr3lrv43000tsr3o7fnbopaq,30,MUSHIN,OLISA PRIMARY SCHOOL,cmrc1hmm4000fl70422zvtukc,Teacher,T78-1300,2026-07-08,interview_2026-07-08T12-13-47-286Z_1e9fe7cd28000c5a.webm,Recording available
cmrc1zg2x0001lb04cihkn1hp_interview_2026-07-08T12-27-40-558Z_aa4e2d5e49ba1fad.webm,30_MUSHIN_OLISA_PRIMARY_SCHOOL_Teacher_T78-1314.webm,cmr3lrv43000tsr3o7fnbopaq,30,MUSHIN,OLISA PRIMARY SCHOOL,cmrc1zhk6000vl70435q4s16d,Teacher,T78-1314,2026-07-08,interview_2026-07-08T12-27-40-558Z_aa4e2d5e49ba1fad.webm,Recording available
cmrc4vfik0001kw0469paq5jv_interview_2026-07-08T13-48-32-041Z_89feb52dfedbb7e9.webm,30_MUSHIN_OLISA_PRIMARY_SCHOOL_Administrator_A78-1344.webm,cmr3lrv43000tsr3o7fnbopaq,30,MUSHIN,OLISA PRIMARY SCHOOL,cmrc4vi8h0001jj04ev6nmtgk,Administrator,A78-1344,2026-07-08,interview_2026-07-08T13-48-32-041Z_89feb52dfedbb7e9.webm,Recording available
cmrc660600009jx04n5amlbbs_interview_2026-07-08T14-24-45-131Z_dd1adb3c7048a651.webm,12_ETI-OSA_AKINLADE_PRIMARY_SCHOOL_Administrator_A78-1501.webm,cmr3lrv26000bsr3ot7avvzpf,12,ETI-OSA,AKINLADE PRIMARY SCHOOL,cmrc665gy0001k004lsejxoh4,Administrator,A78-1501,2026-07-08,interview_2026-07-08T14-24-45-131Z_dd1adb3c7048a651.webm,Recording available
cmrc7720z0001ky04xarac2t5_interview_2026-07-08T14-53-33-663Z_df045abaed6f374d.webm,12_ETI-OSA_AKINLADE_PRIMARY_SCHOOL_Administrator_A78-1548.webm,cmr3lrv26000bsr3ot7avvzpf,12,ETI-OSA,AKINLADE PRIMARY SCHOOL,cmrc777oy0003lc045pn9p1us,Administrator,A78-1548,2026-07-08,interview_2026-07-08T14-53-33-663Z_df045abaed6f374d.webm,Recording available
cmrc7o4pe0001l504se1h0ijl_interview_2026-07-08T15-06-50-287Z_bd53ccfb230e2e7b.webm,12_ETI-OSA_AKINLADE_PRIMARY_SCHOOL_Teacher_T78-1556.webm,cmr3lrv26000bsr3ot7avvzpf,12,ETI-OSA,AKINLADE PRIMARY SCHOOL,cmrc7ob390001jr04vv890jss,Teacher,T78-1556,2026-07-08,interview_2026-07-08T15-06-50-287Z_bd53ccfb230e2e7b.webm,Recording available
cmrc822tn0001l704hvudxgdw_interview_2026-07-08T15-17-41-026Z_027e0dda329a4b50.webm,26_LAGOS_MAINLAND_ANSARUDEEN_PRIMARY_SCHOOL_ODUNFA_Administrator_A78-1555.webm,cmr3lrv3y000psr3o47wnakzq,26,LAGOS MAINLAND,ANSARUDEEN PRIMARY SCHOOL ODUNFA,cmrc83x6c0001jj04qkxlkzrz,Administrator,A78-1555,2026-07-08,interview_2026-07-08T15-17-41-026Z_027e0dda329a4b50.webm,Recording available
cmrc8r93h0003l104ncx9nhcl_interview_2026-07-08T15-37-15-707Z_12b6d5860287bb82.webm,26_LAGOS_MAINLAND_ANSARUDEEN_PRIMARY_SCHOOL_ODUNFA_Administrator_A78-1623.webm,cmr3lrv3y000psr3o47wnakzq,26,LAGOS MAINLAND,ANSARUDEEN PRIMARY SCHOOL ODUNFA,cmrc8rc2s0003l504yv1yhzlt,Administrator,A78-1623,2026-07-08,interview_2026-07-08T15-37-15-707Z_12b6d5860287bb82.webm,Recording available
cmrd9fs970001jr04ujinii8k_interview_2026-07-09T08-44-06-290Z_89911c42b7efc276.webm,38_SOMOLU_IJEBU-TEDO_PRY_SCHOOL_Administrator_A79-0923.webm,cmr3lrv4d0011sr3okm9zyd46,38,SOMOLU,IJEBU-TEDO PRY SCHOOL,cmrd9fwyv0001js04rqwz34w0,Administrator,A79-0923,2026-07-09,interview_2026-07-09T08-44-06-290Z_89911c42b7efc276.webm,Recording available
cmrd9xo9d0001js04xje6kh96_interview_2026-07-09T08-58-01-057Z_b5177dbb11e858c3.webm,5_ALIMOSHO_AFRICAN_CHURCH_PRY_SCHL_MOSAN_Administrator_A79-0952.webm,cmr3lrv1v0004sr3o92qj045j,5,ALIMOSHO,"AFRICAN CHURCH PRY SCHL, MOSAN",cmrd9xpw90001jo04238jf5xt,Administrator,A79-0952,2026-07-09,interview_2026-07-09T08-58-01-057Z_b5177dbb11e858c3.webm,Recording available
cmrda9tfk0003js04dgsz7573_interview_2026-07-09T09-07-27-666Z_44516ae9ab487729.webm,5_ALIMOSHO_AFRICAN_CHURCH_PRY_SCHL_MOSAN_Teacher_T79-0958.webm,cmr3lrv1v0004sr3o92qj045j,5,ALIMOSHO,"AFRICAN CHURCH PRY SCHL, MOSAN",cmrda9ywt000fjo04oz8e52wj,Teacher,T79-0958,2026-07-09,interview_2026-07-09T09-07-27-666Z_44516ae9ab487729.webm,Recording available
cmrdag1dx0005js04qkq35ut4_interview_2026-07-09T09-12-17-916Z_dd20390a82af23d7.webm,5_ALIMOSHO_AFRICAN_CHURCH_PRY_SCHL_MOSAN_Teacher_T79-1008.webm,cmr3lrv1v0004sr3o92qj045j,5,ALIMOSHO,"AFRICAN CHURCH PRY SCHL, MOSAN",cmrdag3s0000vjo0405sj3yno,Teacher,T79-1008,2026-07-09,interview_2026-07-09T09-12-17-916Z_dd20390a82af23d7.webm,Recording available
cmrdall800007js042wzbjc34_interview_2026-07-09T09-16-36-901Z_c3289a488f89e8dd.webm,5_ALIMOSHO_AFRICAN_CHURCH_PRY_SCHL_MOSAN_Teacher_T79-1012.webm,cmr3lrv1v0004sr3o92qj045j,5,ALIMOSHO,"AFRICAN CHURCH PRY SCHL, MOSAN",cmrdaln26000jjs04axwwwuoe,Teacher,T79-1012,2026-07-09,interview_2026-07-09T09-16-36-901Z_c3289a488f89e8dd.webm,Recording available
cmrdat6vr0009js04h1tc7m43_interview_2026-07-09T09-22-31-534Z_080948e4e0e5b086.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Pupil_P79-1005.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmrdat9cp000xjs04f3ruqtut,Pupil,P79-1005,2026-07-09,interview_2026-07-09T09-22-31-534Z_080948e4e0e5b086.webm,Recording available
cmrdazcmd000bjs04ek9aygbj_interview_2026-07-09T09-27-18-942Z_48235721f65ee281.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Pupil_P79-1023.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmrdazdhv001fjs049mepwo2x,Pupil,P79-1023,2026-07-09,interview_2026-07-09T09-27-18-942Z_48235721f65ee281.webm,Recording available
cmrdb4bd2000djs04iunknn7c_interview_2026-07-09T09-31-10-566Z_778eb30a77e31ea4.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Pupil_P79-1027.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmrdb4d7y001xjs04c00fpftp,Pupil,P79-1027,2026-07-09,interview_2026-07-09T09-31-10-566Z_778eb30a77e31ea4.webm,Recording available
cmrdbzn3e000fjs042cy9z4ja_interview_2026-07-09T09-55-32-094Z_083d974cf1c63304.webm,37_SOMOLU_ADARANIJO_PRY_SCHOOL_Administrator_A79-1048.webm,cmr3lrv4c0010sr3o4srookd4,37,SOMOLU,ADARANIJO PRY SCHOOL,cmrdbzx3j0001jm046kxc0ukw,Administrator,A79-1048,2026-07-09,interview_2026-07-09T09-55-32-094Z_083d974cf1c63304.webm,Recording available
cmrdcpsat000hjs04bcxd5cd1_interview_2026-07-09T10-15-51-900Z_26443d747c210000.webm,19_IKORODU_L.G._PRIMARY_SCHOOL_IPAKODO_Administrator_A79-1102.webm,cmr3lrv3o000isr3ofarkweb0,19,IKORODU,"L.G. PRIMARY SCHOOL, IPAKODO",cmrdcpukz002vjs04aj9ftee5,Administrator,A79-1102,2026-07-09,interview_2026-07-09T10-15-51-900Z_26443d747c210000.webm,Recording available
cmrde4sq80003ky04wqh8arvq_interview_2026-07-09T10-55-31-877Z_f513d5dace4a765f.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Administrator_A79-1137.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrde54cy000rjl04nzt39hbf,Administrator,A79-1137,2026-07-09,interview_2026-07-09T10-55-31-877Z_f513d5dace4a765f.webm,Recording available
cmrdetnxk0001jr04wqzfasvj_interview_2026-07-09T11-14-52-069Z_2935ec81b2bc9c9e.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Teacher_T79-1202.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdetxp50001l804b3o5dkte,Teacher,T79-1202,2026-07-09,interview_2026-07-09T11-14-52-069Z_2935ec81b2bc9c9e.webm,Recording available
cmrdevfs90003jr049ykbn8qj_interview_2026-07-09T11-16-14-823Z_656e1b284530fde9.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Teacher_T79-1202_1.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdevpmj0001jo04h3hc2yq6,Teacher,T79-1202,2026-07-09,interview_2026-07-09T11-16-14-823Z_656e1b284530fde9.webm,Recording available
cmrdewf580005jr041ppmdehd_interview_2026-07-09T11-17-00-658Z_07f43a7ee0f799eb.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Teacher_T79-1202_2.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdewndn000bjo046i11q7vh,Teacher,T79-1202,2026-07-09,interview_2026-07-09T11-17-00-658Z_07f43a7ee0f799eb.webm,Recording available
cmrdfalut0007jr04k3ibxdb4_interview_2026-07-09T11-28-02-585Z_5f6d5b1c6e94c90f.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Teacher_T79-1218.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdfar230001l804fldqcacu,Teacher,T79-1218,2026-07-09,interview_2026-07-09T11-28-02-585Z_5f6d5b1c6e94c90f.webm,Recording available
cmrdfflwu0009jr048z6ikkhh_interview_2026-07-09T11-31-55-949Z_11bc93fa444850b6.webm,44_SURULERE_Atunda-Olu_School_for_the_Physically_and_Mentally_Challenged_Administrator_A79-1221.webm,c70a4xlmh0p2j6kb48k5xl98,44,SURULERE,Atunda-Olu School for the Physically and Mentally Challenged,cmrdffmok0001jr04ddbgkt9j,Administrator,A79-1221,2026-07-09,interview_2026-07-09T11-31-55-949Z_11bc93fa444850b6.webm,Recording available
cmrdfk0cp0001kx04mmvfnjz1_interview_2026-07-09T11-35-21-108Z_812e9033ed5a0b27.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Administrator_A79-1228.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdfk5va0001l904j7yfmpko,Administrator,A79-1228,2026-07-09,interview_2026-07-09T11-35-21-108Z_812e9033ed5a0b27.webm,Recording available
cmrdfnmp90001l604zb5lth19_interview_2026-07-09T11-38-10-063Z_b91109332951cb3f.webm,44_SURULERE_Atunda-Olu_School_for_the_Physically_and_Mentally_Challenged_Teacher_T79-1232.webm,c70a4xlmh0p2j6kb48k5xl98,44,SURULERE,Atunda-Olu School for the Physically and Mentally Challenged,cmrdfnnbq000vl9044xgl2rrr,Teacher,T79-1232,2026-07-09,interview_2026-07-09T11-38-10-063Z_b91109332951cb3f.webm,Recording available
cmrdfxwnn0005l604b23k2hne_interview_2026-07-09T11-46-09-677Z_69ff046491355079.webm,7_ALIMOSHO_LOCAL_GOVT._NUR_PRY._SCH._I_IGANDO_Pupil_P79-1235.webm,cmr3lrv1y0006sr3o0quzrhm8,7,ALIMOSHO,"LOCAL GOVT. NUR/PRY. SCH. I, IGANDO",cmrdfxxfk000ll204hbvaghi0,Pupil,P79-1235,2026-07-09,interview_2026-07-09T11-46-09-677Z_69ff046491355079.webm,Recording available
